journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
Australian Journal of Career Development	AUST J CAREER DEV	1038-4162	2200-6974	1.4	1.4	PSYCHOLOGY, APPLIED	Q3	76	113
BMJ Military Health	BMJ MILITARY HEALTH	2633-3767	2633-3775	1.4	1.5	MEDICINE, GENERAL & INTERNAL	Q2	138	325
Chemical Biology Letters	CHEM BIOL LETT		2347-9825	1.4		CHEMISTRY, MEDICINAL	Q4	62	72
INTERNATIONAL JOURNAL OF MODERN PHYSICS A	INT J MOD PHYS A	0217-751X	1793-656X	1.4	1.3	PHYSICS, PARTICLES & FIELDS	Q3	22	30
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	NEW ZEAL J MAR FRESH	0028-8330	1175-8805	1.4	1.8	OCEANOGRAPHY	Q3	46	65
Pharmaceutical Sciences	PHARM SCI-IRAN	1735-403X	2383-2886	1.4	1.2	PHARMACOLOGY & PHARMACY	Q4	275	354
PSYCHOLOGISCHE RUNDSCHAU	PSYCHOL RUNDSCH	0033-3042	2190-6238	1.4	0.9	PSYCHOLOGY, MULTIDISCIPLINARY	Q3	116	218
Scientia Iranica	SCI IRAN	1026-3098		1.4	1.2	ENGINEERING, MULTIDISCIPLINARY	Q2	80	179
EXPERIMENTAL AGING RESEARCH	EXP AGING RES	0361-073X	1096-4657	1.4	1.8	PSYCHOLOGY	Q3	66	92
INTERNATIONAL JOURNAL OF MENTAL HEALTH	INT J MENT HEALTH	0020-7411	1557-9328	1.4	1.4	PSYCHOLOGY, CLINICAL	Q3	120	180
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE	J LIBR INF SCI	0961-0006	1741-6477	1.4	1.9	INFORMATION SCIENCE & LIBRARY SCIENCE	Q2	73	160
Sexual & Reproductive Healthcare	SEX REPROD HEALTHC	1877-5756	1877-5764	1.4	2.0	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
SIAM Journal on Financial Mathematics	SIAM J FINANC MATH	1945-497X	1945-497X	1.4	1.6	SOCIAL SCIENCES, MATHEMATICAL METHODS	Q3	36	67
Tourism Analysis	TOUR ANAL	1083-5423	1943-3999	1.4	1.9	HOSPITALITY, LEISURE, SPORT & TOURISM	Q3	88	139
Current Genetic Medicine Reports	CURR GENET MED REP		2167-4876	1.4	1.9	GENETICS & HEREDITY	Q4	152	191
Ingegneria Sismica	ING SISMICA-ITAL	0393-1420		1.4	1.1	ENGINEERING, GEOLOGICAL	Q3	42	63
JMIR Research Protocols	JMIR RES PROTOC	1929-0748	1929-0748	1.4	1.5	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
JOURNAL OF ENGINEERING MATHEMATICS	J ENG MATH	0022-0833	1573-2703	1.4	1.3	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	Q3	80	135
JOURNAL OF RADIOLOGICAL PROTECTION	J RADIOL PROT	0952-4746	1361-6498	1.4	1.3	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	Q3	132	204
MARRIAGE AND FAMILY REVIEW	MARRIAGE FAM REV	0149-4929	1540-9635	1.4	1.5	FAMILY STUDIES	Q3	35	66
Minerva Cardiology and Angiology	MINERVA CARDIOL ANGI	2724-5683	2724-5772	1.4	1.0	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
OR SPECTRUM	OR SPECTRUM	0171-6468	1436-6304	1.4	2.3	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	74	106
PERCEPTUAL AND MOTOR SKILLS	PERCEPT MOTOR SKILL	0031-5125	1558-688X	1.4	1.9	PSYCHOLOGY, EXPERIMENTAL	Q4	78	99
PSYCHOLOGICAL STUDIES	PSYCHOL STUD	0033-2968	0974-9861	1.4	1.5	PSYCHOLOGY, MULTIDISCIPLINARY	Q3	116	218
REVIEWS IN MATHEMATICAL PHYSICS	REV MATH PHYS	0129-055X	1793-6659	1.4	1.2	PHYSICS, MATHEMATICAL	Q2	30	60
SEMINARS IN DIALYSIS	SEMIN DIALYSIS	0894-0959	1525-139X	1.4	2.2	UROLOGY & NEPHROLOGY	Q3	84	126
AGRICULTURAL RESEARCH	AGR RES	2249-720X	2249-7218	1.4	1.5	AGRONOMY	Q3	65	125
Applied Neuropsychology-Child	APPL NEUROPSYCH-CHIL	2162-2965	2162-2973	1.4	1.5	PSYCHOLOGY	Q3	66	92
COLLEGE & RESEARCH LIBRARIES	COLL RES LIBR	0010-0870	2150-6701	1.4	1.6	INFORMATION SCIENCE & LIBRARY SCIENCE	Q2	73	160
Dendrobiology	DENDROBIOLOGY	1641-1307	2083-8387	1.4	1.2	FORESTRY	Q2	44	89
International Journal of Burns and Trauma	INT J BURNS TRAUMA	2160-2026	2160-2026	1.4	1.2	EMERGENCY MEDICINE	Q3	29	54
JOURNAL OF ECONOMIC THEORY	J ECON THEORY	0022-0531	1095-7235	1.4	1.7	ECONOMICS	Q3	308	597
Journal of Parasitology Research	J PARASITOL RES	2090-0023	2090-0031	1.4		PARASITOLOGY	Q3	28	45
Pain Management	PAIN MANAG	1758-1869	1758-1877	1.4	2.2	CLINICAL NEUROLOGY	Q4	215	277
Skin Appendage Disorders	SKIN APPENDAGE DISOR	2296-9195	2296-9160	1.4	1.7	DERMATOLOGY	Q3	67	94
Acta Geodaetica et Geophysica	ACTA GEOD GEOPHYS	2213-5812	2213-5820	1.4	1.5	GEOCHEMISTRY & GEOPHYSICS	Q3	60	101
ACTA OCEANOLOGICA SINICA	ACTA OCEANOL SIN	0253-505X	1869-1099	1.4	1.6	OCEANOGRAPHY	Q3	46	65
GEOLOGICAL JOURNAL	GEOL J	0072-1050	1099-1034	1.4	1.7	GEOSCIENCES, MULTIDISCIPLINARY	Q3	175	253
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES	J ENVIRON SCI HEAL B	0360-1234	1532-4109	1.4	2.2	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
Journal of Management Accounting Research	J MANAG ACCOUNT RES	1049-2127	1558-8033	1.4	2.2	BUSINESS, FINANCE	Q3	139	231
Journal of Ocean University of China	J OCEAN U CHINA	1672-5182	1993-5021	1.4	1.4	OCEANOGRAPHY	Q3	46	65
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN	J STRAIN ANAL ENG	0309-3247	2041-3130	1.4	1.8	MECHANICS	Q3	123	170
MINERALOGY AND PETROLOGY	MINER PETROL	0930-0708	1438-1168	1.4	1.6	MINERALOGY	Q3	16	30
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES	SADHANA-ACAD P ENG S	0256-2499	0973-7677	1.4	1.4	ENGINEERING, MULTIDISCIPLINARY	Q2	80	179
World Journal of Radiology	WORLD J RADIOL	1949-8470	1949-8470	1.4	1.8	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	Q3	132	204
WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE	WOUNDS	1044-7946	1943-2704	1.4	1.5	SURGERY	Q3	165	290
ANNALES HENRI POINCARE	ANN HENRI POINCARE	1424-0637	1424-0661	1.4	1.4	PHYSICS, PARTICLES & FIELDS	Q3	22	30
Hungarian Geographical Bulletin	HUNG GEOGR BULL	2064-5031	2064-5147	1.4		GEOGRAPHY, PHYSICAL	Q3	44	65
KOREAN JOURNAL OF PARASITOLOGY	KOREAN J PARASITOL	0023-4001	1738-0006	1.4	1.3	PARASITOLOGY	Q3	28	45
TECHNOLOGY AND HEALTH CARE	TECHNOL HEALTH CARE	0928-7329	1878-7401	1.4	1.3	HEALTH CARE SCIENCES & SERVICES	Q3	130	174
THEORETICAL ISSUES IN ERGONOMICS SCIENCE	THEOR ISS ERGON SCI	1463-922X	1464-536X	1.4	2.0	ERGONOMICS	Q4	19	24
Womens Studies in Communication	WOMEN STUD COMMUN	0749-1409	2152-999X	1.4	2.4	COMMUNICATION	Q2	101	227
ZEITSCHRIFT FUR GEOMORPHOLOGIE	Z GEOMORPHOL	0372-8854	1864-1687	1.4	1.1	GEOSCIENCES, MULTIDISCIPLINARY	Q3	175	253
Advances in Mental Health	ADV MENT HEALTH	1838-7357	1837-4905	1.4	1.4	PSYCHIATRY	Q3	199	276
African Journal of Economic and Management Studies	AFR J ECON MANAG STU	2040-0705	2040-0713	1.4	1.7	ECONOMICS	Q3	308	597
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	AFR J RANGE FOR SCI	1022-0119	1727-9380	1.4	1.8	ENVIRONMENTAL SCIENCES	Q4	300	358
Asia-Pacific Journal of Public Health	ASIA-PAC J PUBLIC HE	1010-5395	1941-2479	1.4	1.6	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
BIOLOGIA	BIOLOGIA	0006-3088	1336-9563	1.4	1.4	BIOLOGY	Q3	66	109
BUILDING ACOUSTICS	BUILD ACOUST	1351-010X	2059-8025	1.4	1.9	ACOUSTICS	Q3	22	40
Central European Journal of Urology	CENT EUR J UROL	2080-4806	2080-4873	1.4	1.4	UROLOGY & NEPHROLOGY	Q3	84	126
Current Emergency and Hospital Medicine Reports	CURR EMERG HOSP ME R	2167-4884	2167-4884	1.4	0.9	EMERGENCY MEDICINE	Q3	29	54
Decisions in Economics and Finance	DECIS ECON FINANC	1593-8883	1129-6569	1.4	1.1	SOCIAL SCIENCES, MATHEMATICAL METHODS	Q3	36	67
IEEE Computer Architecture Letters	IEEE COMPUT ARCHIT L	1556-6056	1556-6064	1.4	1.7	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	Q4	48	59
Journal of the Asia Pacific Economy	J ASIA PAC ECON	1354-7860	1469-9648	1.4	1.8	ECONOMICS	Q3	308	597
LASER PHYSICS LETTERS	LASER PHYS LETT	1612-2011	1612-202X	1.4	1.3	PHYSICS, APPLIED	Q4	138	179
SPE Production & Operations	SPE PROD OPER	1930-1855	1930-1863	1.4	1.4	ENGINEERING, PETROLEUM	Q2	11	23
Techniques in Vascular and Interventional Radiology	TECH VASC INTERV RAD	1089-2516	1557-9808	1.4	1.8	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	Q3	132	204
ACTA BIOTHEORETICA	ACTA BIOTHEOR	0001-5342	1572-8358	1.4	1.2	MATHEMATICAL & COMPUTATIONAL BIOLOGY	Q4	50	65
Acta Geochimica	ACTA GEOCHIM	2096-0956	2365-7499	1.4	1.6	GEOCHEMISTRY & GEOPHYSICS	Q3	60	101
AFRICAN JOURNAL OF MARINE SCIENCE	AFR J MAR SCI	1814-232X	1814-2338	1.4	1.3	MARINE & FRESHWATER BIOLOGY	Q3	70	119
Cancer Genetics	CANCER GENET-NY	2210-7762	2210-7770	1.4	1.7	ONCOLOGY	Q4	263	322
E & M Ekonomie a Management	E M EKON MANAG	1212-3609	2336-5064	1.4	1.1	MANAGEMENT	Q3	291	401
FARMACIA	FARMACIA	0014-8237	2065-0019	1.4	1.0	PHARMACOLOGY & PHARMACY	Q4	275	354
Gynecology and Minimally Invasive Therapy-GMIT	GYNECOL MINIM INVASI	2213-3070	2213-3089	1.4	1.6	OBSTETRICS & GYNECOLOGY	Q3	94	136
Health Promotion Journal of Australia	HEALTH PROMOT J AUST	1036-1073	2201-1617	1.4	1.8	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
HEART AND VESSELS	HEART VESSELS	0910-8327	1615-2573	1.4	1.4	PERIPHERAL VASCULAR DISEASE	Q3	72	96
International Journal of Asia Pacific Studies	INT J ASIA PAC STUD	1823-6243	1823-6243	1.4	0.9	SOCIAL SCIENCES, INTERDISCIPLINARY	Q2	93	263
Periodica Polytechnica-Civil Engineering	PERIOD POLYTECH-CIV	0553-6626	1587-3773	1.4	1.5	ENGINEERING, CIVIL	Q3	120	181
Proceedings of the ACM on Computer Graphics and Interactive Techniques	P ACM COMPUT GRAPH		2577-6193	1.4	2.5	COMPUTER SCIENCE, SOFTWARE ENGINEERING	Q3	88	131
AUSTRALASIAN JOURNAL ON AGEING	AUSTRALAS J AGEING	1440-6381	1741-6612	1.4	1.6	GERONTOLOGY	Q3	30	47
Cardiology Research	CARDIOL RES	1923-2829	1923-2837	1.4	1.3	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
FORMAL ASPECTS OF COMPUTING	FORM ASP COMPUT	0934-5043	1433-299X	1.4	1.3	COMPUTER SCIENCE, SOFTWARE ENGINEERING	Q3	88	131
International Aquatic Research	INT AQUAT RES	2008-4935	2008-6970	1.4	2.0	MARINE & FRESHWATER BIOLOGY	Q3	70	119
JETP LETTERS	JETP LETT+	0021-3640	1090-6487	1.4	1.1	PHYSICS, MULTIDISCIPLINARY	Q3	59	110
JOURNAL OF CARDIOVASCULAR SURGERY	J CARDIOVASC SURG	0021-9509	1827-191X	1.4	1.5	SURGERY	Q3	165	290
JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME	J ENG GAS TURB POWER	0742-4795	1528-8919	1.4	1.5	ENGINEERING, MECHANICAL	Q3	123	180
Medical Mycology Journal	MED MYCOL J	2185-6486	2186-165X	1.4		MYCOLOGY	Q4	30	33
Notulae Botanicae Horti Agrobotanici Cluj-Napoca	NOT BOT HORTI AGROBO	0255-965X	1842-4309	1.4	1.6	PLANT SCIENCES	Q3	161	265
Remote Sensing Letters	REMOTE SENS LETT	2150-704X	2150-7058	1.4	1.9	REMOTE SENSING	Q3	44	62
Scandinavian Journal of Child and Adolescent Psychiatry and Psychology	SCAND J CHILD ADOLES	2245-8875	2245-8875	1.4	1.8	PSYCHIATRY	Q3	199	276
SOCIETY	SOCIETY	0147-2011	1936-4725	1.4	0.9	SOCIOLOGY	Q2	106	217
WILDERNESS & ENVIRONMENTAL MEDICINE	WILD ENVIRON MED	1080-6032	1545-1534	1.4	1.6	SPORT SCIENCES	Q3	78	127
BIOCHEMICAL SYSTEMATICS AND ECOLOGY	BIOCHEM SYST ECOL	0305-1978	1873-2925	1.4	1.4	EVOLUTIONARY BIOLOGY	Q4	47	54
Brazilian Journal of Botany	BRAZ J BOT	0100-8404	1806-9959	1.4	1.5	PLANT SCIENCES	Q3	161	265
Chemistry of Heterocyclic Compounds	CHEM HETEROCYCL COM+	0009-3122	1573-8353	1.4	1.2	CHEMISTRY, ORGANIC	Q3	39	58
Earthquakes and Structures	EARTHQ STRUCT	2092-7614	2092-7622	1.4	1.5	ENGINEERING, GEOLOGICAL	Q3	42	63
EJVES Vascular Forum	EJVES VASC FORUM	2666-688X	2666-688X	1.4		SURGERY	Q3	165	290
Genetics Research	GENET RES	0016-6723	1469-5073	1.4	1.5	GENETICS & HEREDITY	Q4	152	191
INDIAN JOURNAL OF PHARMACOLOGY	INDIAN J PHARMACOL	0253-7613	1998-3751	1.4	1.7	PHARMACOLOGY & PHARMACY	Q4	275	354
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS	INT J ARTIF ORGANS	0391-3988	1724-6040	1.4	1.5	TRANSPLANTATION	Q3	21	31
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT	INT J TECHNOL MANAGE	0267-5730	1741-5276	1.4	1.7	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	74	106
JOURNAL OF CONSUMER POLICY	J CONSUM POLICY	0168-7034	1573-0700	1.4	2.0	BUSINESS	Q3	219	302
Journal of Consumer Protection and Food Safety	J CONSUM PROT FOOD S	1661-5751	1661-5867	1.4	1.7	FOOD SCIENCE & TECHNOLOGY	Q4	133	173
Journal of Osteopathic Medicine	J OSTEOPATH MED		2702-3648	1.4	1.4	MEDICINE, GENERAL & INTERNAL	Q2	138	325
Journal of the British Blockchain Association	J BRIT BLOCKCHAIN AS		2516-3957	1.4	1.9	ECONOMICS	Q3	308	597
New Review of Hypermedia and Multimedia	NEW REV HYPERMEDIA M	1361-4568	1740-7842	1.4	1.7	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q3	180	249
Oxford Development Studies	OXF DEV STUD	1360-0818	1469-9966	1.4	1.9	DEVELOPMENT STUDIES	Q3	41	63
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS	PHOSPHORUS SULFUR	1042-6507	1563-5325	1.4	1.2	CHEMISTRY, ORGANIC	Q3	39	58
Postepy Dermatologii i Alergologii	POSTEP DERM ALERGOL	1642-395X	2299-0046	1.4	1.7	DERMATOLOGY	Q3	67	94
Trends in Anaesthesia and Critical Care	TRENDS ANAESTH CRIT	2210-8440	2210-8467	1.4	0.9	ANESTHESIOLOGY	Q3	36	64
ADVANCED ROBOTICS	ADV ROBOTICS	0169-1864	1568-5535	1.4	2.2	ROBOTICS	Q4	37	46
Archives of Environmental & Occupational Health	ARCH ENVIRON OCCUP H	1933-8244	2154-4700	1.4	1.7	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
Central European Journal of Operations Research	CENT EUR J OPER RES	1435-246X	1613-9178	1.4	1.8	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	74	106
IET Radar Sonar and Navigation	IET RADAR SONAR NAV	1751-8784	1751-8792	1.4	1.5	TELECOMMUNICATIONS	Q4	92	119
International Journal of Central Banking	INT J CENT BANK	1815-4654	1815-7556	1.4	1.9	BUSINESS, FINANCE	Q3	139	231
JOURNAL OF AFRICAN ECONOMIES	J AFR ECON	0963-8024	1464-3723	1.4	1.7	ECONOMICS	Q3	308	597
Journal of Lasers in Medical Sciences	J LASERS MED SCI	2008-9783	2228-6721	1.4	1.8	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	Q3	132	204
Journal of Sensors	J SENSORS	1687-725X	1687-7268	1.4	1.7	INSTRUMENTS & INSTRUMENTATION	Q3	53	76
Minerva Orthopedics	MINERVA ORTHOP	2784-8469	2784-871X	1.4	1.4	ORTHOPEDICS	Q3	82	136
MOLECULAR AND BIOCHEMICAL PARASITOLOGY	MOL BIOCHEM PARASIT	0166-6851	1872-9428	1.4	1.6	PARASITOLOGY	Q3	28	45
Organics	ORGANICS		2673-401X	1.4	1.5	CHEMISTRY, ORGANIC	Q3	39	58
American Health and Drug Benefits	AM HEALTH DRUG BENEF	1942-2962	1942-2970	1.4	2.7	HEALTH POLICY & SERVICES	Q4	93	118
ARCHIVAL SCIENCE	ARCH SCI-NETHERLANDS	1389-0166	1573-7500	1.4	1.8	INFORMATION SCIENCE & LIBRARY SCIENCE	Q2	73	160
Contemporary Clinical Trials Communications	CONT CLIN TRIAL COMM		2451-8654	1.4	1.8	MEDICINE, RESEARCH & EXPERIMENTAL	Q4	144	189
Journal of Infection in Developing Countries	J INFECT DEV COUNTR	1972-2680	1972-2680	1.4	1.5	INFECTIOUS DISEASES	Q4	108	132
JOURNAL OF REGULATORY ECONOMICS	J REGUL ECON	0922-680X	1573-0468	1.4	1.6	ECONOMICS	Q3	308	597
Journal of Scleroderma and Related Disorders	J SCLERODERMA RELAT	2397-1983	2397-1991	1.4	2.0	RHEUMATOLOGY	Q3	40	57
PROTEIN EXPRESSION AND PURIFICATION	PROTEIN EXPRES PURIF	1046-5928	1096-0279	1.4	1.4	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	Q4	152	174
Reviews on Recent Clinical Trials	REV RECENT CLIN TRIA	1574-8871	1876-1038	1.4	1.5	PHARMACOLOGY & PHARMACY	Q4	275	354
TRANSFUSION AND APHERESIS SCIENCE	TRANSFUS APHER SCI	1473-0502	1878-1683	1.4	1.4	HEMATOLOGY	Q4	74	97
Canadian Journal of Human Sexuality	CAN J HUM SEX	1188-4517	2291-7063	1.4	1.5	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
GEOGRAPHY	GEOGRAPHY	0016-7487	2043-6564	1.4	1.1	GEOGRAPHY	Q2	80	171
Indian Geotechnical Journal	INDIAN GEOTECH J	0971-9555	2277-3347	1.4	1.5	ENGINEERING, GEOLOGICAL	Q3	42	63
International Journal of Prognostics and Health Management	INT J PROGN HEALTH M	2153-2648	2153-2648	1.4	1.7	INSTRUMENTS & INSTRUMENTATION	Q3	53	76
JOURNAL OF GENETICS	J GENET	0022-1333	0973-7731	1.4	1.3	GENETICS & HEREDITY	Q4	152	191
Russian Journal of Physical Chemistry B	RUSS J PHYS CHEM B+	1990-7931	1990-7923	1.4	1.1	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL	Q4	31	40
ADVANCES IN CEMENT RESEARCH	ADV CEM RES	0951-7197	1751-7605	1.4	1.7	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	349	438
Anatolian Journal of Cardiology	ANATOL J CARDIOL	2149-2263	2149-2271	1.4	1.4	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
Atherosclerosis Plus	ATHEROSCLEROSIS PLUS	2667-0909	2667-0895	1.4	1.4	PERIPHERAL VASCULAR DISEASE	Q3	72	96
BIOCATALYSIS AND BIOTRANSFORMATION	BIOCATAL BIOTRANSFOR	1024-2422	1029-2446	1.4	1.8	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	Q4	152	174
Critical Care and Resuscitation	CRIT CARE RESUSC	1441-2772	1441-2772	1.4	1.8	CRITICAL CARE MEDICINE	Q3	39	54
Decision Science Letters	DECISION SCI LETT	1929-5804	1929-5812	1.4		OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	74	106
International Journal of Microwave and Wireless Technologies	INT J MICROW WIREL T	1759-0787	1759-0795	1.4	1.2	TELECOMMUNICATIONS	Q4	92	119
PARASITE IMMUNOLOGY	PARASITE IMMUNOL	0141-9838	1365-3024	1.4	1.7	PARASITOLOGY	Q3	28	45
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy	REV BRAS FARMACOGN	0102-695X	1981-528X	1.4	1.9	PHARMACOLOGY & PHARMACY	Q4	275	354
Timing & Time Perception	TIMING TIME PERCEPT	2213-445X	2213-4468	1.4		PSYCHOLOGY, EXPERIMENTAL	Q4	78	99
ARP Rheumatology	ARP RHEUMATOL	2795-4552	2795-4552	1.4	1.4	RHEUMATOLOGY	Q3	40	57
Asia-Pacific Journal of Accounting & Economics	ASIA-PAC J ACCOUNT E	1608-1625	2164-2257	1.4	1.5	ECONOMICS	Q3	308	597
Clinical Teacher	CLIN TEACH	1743-4971	1743-498X	1.4	1.6	MEDICINE, RESEARCH & EXPERIMENTAL	Q4	144	189
Indian Heart Journal	INDIAN HEART J	0019-4832	2213-3763	1.4	1.7	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS	INT J MED MUSHROOMS	1521-9437	1940-4344	1.4	1.5	PHARMACOLOGY & PHARMACY	Q4	275	354
JOURNAL OF AGRICULTURAL METEOROLOGY	J AGRIC METEOROL	0021-8588	1881-0136	1.4	1.3	METEOROLOGY & ATMOSPHERIC SCIENCES	Q4	94	110
Journal of Applied Water Engineering and Research	J APPL WATER ENG RES	2324-9676	2324-9676	1.4	1.4	WATER RESOURCES	Q4	100	127
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH	J INT MED RES	0300-0605	1473-2300	1.4	1.8	PHARMACOLOGY & PHARMACY	Q4	275	354
JOURNAL OF SCHEDULING	J SCHEDULING	1094-6136	1099-1425	1.4	1.7	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	74	106
JRSM Cardiovascular Disease	JRSM CARDIOVASC DIS		2048-0040	1.4	1.4	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
Plant Biotechnology	PLANT BIOTECHNOL-NAR	1342-4580		1.4	1.5	PLANT SCIENCES	Q3	161	265
SCIENCE OF SINTERING	SCI SINTER	0350-820X		1.4	1.3	METALLURGY & METALLURGICAL ENGINEERING	Q3	52	90
SOLID-STATE ELECTRONICS	SOLID STATE ELECTRON	0038-1101	1879-2405	1.4	1.4	PHYSICS, CONDENSED MATTER	Q4	61	79
Asia-Pacific Journal of Clinical Oncology	ASIA-PAC J CLIN ONCO	1743-7555	1743-7563	1.4	1.8	ONCOLOGY	Q4	263	322
Economic Computation and Economic Cybernetics Studies and Research	ECON COMPUT ECON CYB	0424-267X	1842-3264	1.4	0.9	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	Q3	80	135
International Journal of Enterprise Information Systems	INT J ENTERP INF SYS	1548-1115	1548-1123	1.4	1.5	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q3	180	249
JOURNAL OF CERAMIC PROCESSING RESEARCH	J CERAM PROCESS RES	1229-9162	1229-9162	1.4	1.0	MATERIALS SCIENCE, CERAMICS	Q3	18	31
Journal of Research in Health Sciences	J RES HEALTH SCI	2228-7795	2228-7809	1.4	1.9	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	295	403
REHABILITATION	REHABILITATION	0034-3536	1439-1309	1.4	3.1	REHABILITATION	Q3	102	169
Special Topics & Reviews in Porous Media-An International Journal	SPEC TOP REV POROUS	2151-4798	2151-562X	1.4	2.1	ENGINEERING, MECHANICAL	Q3	123	180
ACTA NEUROBIOLOGIAE EXPERIMENTALIS	ACTA NEUROBIOL EXP	0065-1400	1689-0035	1.4	1.3	NEUROSCIENCES	Q4	275	310
Egyptian Heart Journal	EGYPT HEART J	1110-2608	2090-911X	1.4	1.3	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
IET Science Measurement & Technology	IET SCI MEAS TECHNOL	1751-8822	1751-8830	1.4	1.4	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	259	352
Inorganic and Nano-Metal Chemistry	INORG NANO-MET CHEM	2470-1556	2470-1564	1.4	1.7	NANOSCIENCE & NANOTECHNOLOGY	Q4	118	140
International Journal of Entrepreneurial Venturing	INT J ENTREP VENTUR	1742-5360	1742-5379	1.4	1.9	MANAGEMENT	Q3	291	401
International Journal of Spray and Combustion Dynamics	INT J SPRAY COMBUST	1756-8277	1756-8285	1.4	1.6	THERMODYNAMICS	Q3	53	76
Journal of Echocardiography	J ECHOCARDIOGR	1349-0222	1880-344X	1.4	1.6	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
Management Systems in Production Engineering	MANAG SYST PROD ENG	2299-0461	2450-5781	1.4	1.2	ENGINEERING, INDUSTRIAL	Q4	54	69
Opsearch	OPSEARCH	0030-3887	0975-0320	1.4	1.6	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	74	106
POLISH JOURNAL OF ENVIRONMENTAL STUDIES	POL J ENVIRON STUD	1230-1485	2083-5906	1.4	1.5	ENVIRONMENTAL SCIENCES	Q4	300	358
Rambam Maimonides Medical Journal	RAMBAM MAIMONIDES ME	2076-9172	2076-9172	1.4	1.5	MEDICINE, GENERAL & INTERNAL	Q2	138	325
Reumatologia	REUMATOLOGIA	0034-6233	2084-9834	1.4		RHEUMATOLOGY	Q3	40	57
South Asian Journal of Human Resource Management	S ASIAN J HUM RE MAN	2322-0937	2349-5790	1.4	1.8	MANAGEMENT	Q3	291	401
Tzu Chi Medical Journal	TZU CHI MED J	1016-3190	2223-8956	1.4	1.6	MEDICINE, GENERAL & INTERNAL	Q2	138	325
ACTA BIOCHIMICA POLONICA	ACTA BIOCHIM POL	0001-527X	1734-154X	1.4	1.8	BIOCHEMISTRY & MOLECULAR BIOLOGY	Q4	282	313
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY	BIOSCI BIOTECH BIOCH	0916-8451	1347-6947	1.4	1.9	FOOD SCIENCE & TECHNOLOGY	Q4	133	173
